origin,dest,count
LA FLORIDA,CERRO NAVIA,222
LA FLORIDA,COLINA,614
LA FLORIDA,CONCHALI,257
LA FLORIDA,CURACAVI,173
LA FLORIDA,EL BOSQUE,592
LA FLORIDA,ESTACION CENTRAL,764
LA FLORIDA,HUECHURABA,252
LA FLORIDA,INDEPENDENCIA,464
LA FLORIDA,ISLA DE MAIPO,161
LA FLORIDA,LA CISTERNA,1144
LA FLORIDA,LA FLORIDA,285267
LA FLORIDA,LA GRANJA,1569
LA FLORIDA,LA PINTANA,1133
LA FLORIDA,LA REINA,603
LA FLORIDA,LAMPA,641
LA FLORIDA,LAS CONDES,1148
LA FLORIDA,LO BARNECHEA,132
LA FLORIDA,LO ESPEJO,232
LA FLORIDA,LO PRADO,193
LA FLORIDA,MACUL,2505
LA FLORIDA,MAIPU,1409
LA FLORIDA,MELIPILLA,413
LA FLORIDA,NUNOA,3259
LA FLORIDA,PADRE HURTADO,442
LA FLORIDA,PAINE,498
LA FLORIDA,PEDRO AGUIRRE CERDA,329
LA FLORIDA,PENAFLOR,259
LA FLORIDA,PENALOLEN,3125
LA FLORIDA,PIRQUE,557
LA FLORIDA,PROVIDENCIA,1183
LA FLORIDA,PUDAHUEL,507
LA FLORIDA,PUENTE ALTO,12433
LA FLORIDA,QUILICURA,455
LA FLORIDA,QUINTA NORMAL,447
LA FLORIDA,RECOLETA,420
LA FLORIDA,RENCA,304
LA FLORIDA,SAN BERNARDO,1292
LA FLORIDA,SAN JOAQUIN,1078
LA FLORIDA,SAN JOSE DE MAIPO,223
LA FLORIDA,SAN MIGUEL,1680
LA FLORIDA,SAN RAMON,488
LA FLORIDA,SANTIAGO,4034
LA FLORIDA,TALAGANTE,193
LA FLORIDA,VITACURA,144
LA GRANJA,BUIN,425
LA GRANJA,CERRILLOS,140
LA GRANJA,COLINA,172
LA GRANJA,EL BOSQUE,440
LA GRANJA,ESTACION CENTRAL,224
LA GRANJA,INDEPENDENCIA,126
LA GRANJA,LA CISTERNA,853
LA GRANJA,LA FLORIDA,2136
LA GRANJA,LA GRANJA,89250
LA GRANJA,LA PINTANA,1560
LA GRANJA,LAMPA,218
LA GRANJA,LO ESPEJO,147
LA GRANJA,MACUL,275
LA GRANJA,MAIPU,503
LA GRANJA,MELIPILLA,132
LA GRANJA,NUNOA,235
LA GRANJA,PADRE HURTADO,189
LA GRANJA,PAINE,149
LA GRANJA,PEDRO AGUIRRE CERDA,187
LA GRANJA,PENAFLOR,113
LA GRANJA,PENALOLEN,257
LA GRANJA,PUDAHUEL,159
LA GRANJA,PUENTE ALTO,2426
LA GRANJA,QUILICURA,140
LA GRANJA,QUINTA NORMAL,114
LA GRANJA,RECOLETA,122
LA GRANJA,RENCA,102
LA GRANJA,SAN BERNARDO,778
LA GRANJA,SAN JOAQUIN,546
LA GRANJA,SAN MIGUEL,646
LA GRANJA,SAN RAMON,784
LA GRANJA,SANTIAGO,1019
LA PINTANA,BUIN,555
LA PINTANA,CERRILLOS,218
LA PINTANA,CERRO NAVIA,124
LA PINTANA,COLINA,289
LA PINTANA,CONCHALI,124
LA PINTANA,EL BOSQUE,1438
LA PINTANA,ESTACION CENTRAL,234
LA PINTANA,INDEPENDENCIA,106
LA PINTANA,LA CISTERNA,983
LA PINTANA,LA FLORIDA,1451
LA PINTANA,LA GRANJA,1219
LA PINTANA,LA PINTANA,142732
LA PINTANA,LAMPA,299
LA PINTANA,LO ESPEJO,229
LA PINTANA,LO PRADO,105
LA PINTANA,MACUL,214
LA PINTANA,MAIPU,540
LA PINTANA,MELIPILLA,231
LA PINTANA,NUNOA,152
LA PINTANA,PADRE HURTADO,201
LA PINTANA,PAINE,342
LA PINTANA,PEDRO AGUIRRE CERDA,315
LA PINTANA,PENALOLEN,324
LA PINTANA,PIRQUE,106
LA PINTANA,PUDAHUEL,241
LA PINTANA,PUENTE ALTO,3979
LA PINTANA,QUILICURA,167
LA PINTANA,QUINTA NORMAL,140
LA PINTANA,RECOLETA,201
LA PINTANA,RENCA,156
LA PINTANA,SAN BERNARDO,2405
LA PINTANA,SAN JOAQUIN,268
LA PINTANA,SAN MIGUEL,593
LA PINTANA,SAN RAMON,822
LA PINTANA,SANTIAGO,1167
LA REINA,BUIN,145
LA REINA,COLINA,360
LA REINA,ESTACION CENTRAL,124
LA REINA,HUECHURABA,114
LA REINA,LA CISTERNA,107
LA REINA,LA FLORIDA,698
LA REINA,LA REINA,65533
LA REINA,LAMPA,138
LA REINA,LAS CONDES,3054
LA REINA,LO BARNECHEA,290
LA REINA,MACUL,559
LA REINA,MAIPU,215
LA REINA,NUNOA,2721
LA REINA,PENALOLEN,2169
LA REINA,PROVIDENCIA,1392
LA REINA,PUENTE ALTO,441
LA REINA,RECOLETA,107
LA REINA,SAN MIGUEL,175
LA REINA,SANTIAGO,991
LA REINA,VITACURA,411
LA SERENA,COLINA,141
LA SERENA,ESTACION CENTRAL,146
LA SERENA,LA FLORIDA,234
LA SERENA,LAS CONDES,626
LA SERENA,MACUL,148
LA SERENA,MAIPU,203
LA SERENA,NUNOA,566
LA SERENA,PROVIDENCIA,463
LA SERENA,PUENTE ALTO,199
LA SERENA,SAN MIGUEL,166
LA SERENA,SANTIAGO,1019
LAMPA,CERRO NAVIA,152
LAMPA,COLINA,882
LAMPA,CONCHALI,336
LAMPA,ESTACION CENTRAL,272
LAMPA,HUECHURABA,393
LAMPA,INDEPENDENCIA,331
LAMPA,LA FLORIDA,254
LAMPA,LAMPA,93852
LAMPA,LAS CONDES,215
LAMPA,LO PRADO,117
LAMPA,MACUL,119
LAMPA,MAIPU,370
LAMPA,NUNOA,311
LAMPA,PENALOLEN,106
LAMPA,PROVIDENCIA,229
LAMPA,PUDAHUEL,332
LAMPA,PUENTE ALTO,231
LAMPA,QUILICURA,982
LAMPA,QUINTA NORMAL,186
LAMPA,RECOLETA,373
LAMPA,RENCA,294
LAMPA,SAN BERNARDO,136
LAMPA,SAN MIGUEL,226
LAMPA,SANTIAGO,806
LAMPA,TILTIL,173
LAS CABRAS,SANTIAGO,126
LAS CONDES,BUIN,314
LAS CONDES,COLINA,3349
LAS CONDES,CURACAVI,154
LAS CONDES,ESTACION CENTRAL,222
LAS CONDES,HUECHURABA,772
LAS CONDES,INDEPENDENCIA,221
LAS CONDES,LA CISTERNA,134
LAS CONDES,LA FLORIDA,823
LAS CONDES,LA REINA,3041
LAS CONDES,LAMPA,324
LAS CONDES,LAS CONDES,210276
LAS CONDES,LO BARNECHEA,6050
LAS CONDES,MACUL,654
LAS CONDES,MAIPU,422
LAS CONDES,MELIPILLA,157
LAS CONDES,NUNOA,4848
LAS CONDES,PAINE,145
LAS CONDES,PENALOLEN,1267
LAS CONDES,PIRQUE,150
LAS CONDES,PROVIDENCIA,6372
