origin,dest,count
MAIPU,PENALOLEN,758
MAIPU,PROVIDENCIA,1280
MAIPU,PUDAHUEL,3270
MAIPU,PUENTE ALTO,1523
MAIPU,PUERTO MONTT,591
MAIPU,QUILICURA,741
MAIPU,QUINTA NORMAL,1199
MAIPU,RANCAGUA,539
MAIPU,RECOLETA,667
MAIPU,RENCA,633
MAIPU,SAN BERNARDO,1176
MAIPU,SAN JOAQUIN,528
MAIPU,SAN MIGUEL,2008
MAIPU,SANTIAGO,6038
MAIPU,TALAGANTE,861
MAIPU,VALPARAISO,553
MAIPU,VILLARRICA,662
MAIPU,VINA DEL MAR,555
MALLOA,MALLOA,11230
MALLOA,RENGO,518
MARCHIHUE,MARCHIHUE,6429
MARIA ELENA,MARIA ELENA,3888
MARIA PINTO,MARIA PINTO,12311
MARIQUINA,MARIQUINA,17966
MAULE,MAULE,44266
MAULE,TALCA,1627
MAULLIN,MAULLIN,12558
MEJILLONES,MEJILLONES,10504
MELIPEUCO,MELIPEUCO,5268
MELIPILLA,MELIPILLA,110788
MELIPILLA,SANTIAGO,910
MOLINA,CURICO,787
MOLINA,MOLINA,40914
MONTE PATRIA,MONTE PATRIA,26520
MONTE PATRIA,OVALLE,778
MOSTAZAL,MOSTAZAL,22271
MULCHEN,LOS ANGELES,646
MULCHEN,MULCHEN,25392
NACIMIENTO,LOS ANGELES,641
NACIMIENTO,NACIMIENTO,22963
NANCAGUA,NANCAGUA,15007
NATALES,NATALES,19018
NATALES,PUNTA ARENAS,522
NAVIDAD,NAVIDAD,6170
NEGRETE,NEGRETE,8514
NINHUE,NINHUE,4638
NIQUEN,NIQUEN,10399
NOGALES,NOGALES,18916
NUEVA IMPERIAL,NUEVA IMPERIAL,27552
NUEVA IMPERIAL,TEMUCO,1034
NUNOA,COLINA,1435
NUNOA,HUECHURABA,721
NUNOA,LA FLORIDA,2804
NUNOA,LA REINA,3376
NUNOA,LAMPA,541
NUNOA,LAS CONDES,5240
NUNOA,MACUL,3754
NUNOA,MAIPU,820
NUNOA,NUNOA,146490
NUNOA,PENALOLEN,4077
NUNOA,PROVIDENCIA,5802
NUNOA,PUENTE ALTO,1372
NUNOA,SAN JOAQUIN,593
NUNOA,SAN MIGUEL,1202
NUNOA,SANTIAGO,5128
NUNOA,VINA DEL MAR,916
NUNOA,VITACURA,699
OLIVAR,OLIVAR,11129
OLMUE,LIMACHE,728
OLMUE,OLMUE,15255
OSORNO,OSORNO,142070
OSORNO,PUERTO MONTT,1533
OSORNO,PUYEHUE,612
OSORNO,RIO BUENO,644
OSORNO,RIO NEGRO,681
OSORNO,SAN JUAN DE LA COSTA,583
OSORNO,SAN PABLO,849
OSORNO,TEMUCO,580
OSORNO,VALDIVIA,919
OVALLE,COQUIMBO,1119
OVALLE,LA SERENA,1960
OVALLE,OVALLE,100762
PADRE HURTADO,MAIPU,1539
PADRE HURTADO,PADRE HURTADO,55336
PADRE HURTADO,PENAFLOR,599
PADRE LAS CASAS,PADRE LAS CASAS,65944
PADRE LAS CASAS,TEMUCO,2777
PAIHUANO,PAIHUANO,3755
PAILLACO,PAILLACO,16365
PAINE,BUIN,1396
PAINE,PAINE,61321
PALENA,PALENA,1424
PALMILLA,PALMILLA,10832
PANGUIPULLI,PANGUIPULLI,28077
PANQUEHUE,PANQUEHUE,6355
PAPUDO,PAPUDO,5290
PAREDONES,PAREDONES,5473
PARRAL,PARRAL,37059
PARRAL,RETIRO,579
PEDRO AGUIRRE CERDA,CERRILLOS,963
PEDRO AGUIRRE CERDA,ESTACION CENTRAL,600
PEDRO AGUIRRE CERDA,LA CISTERNA,621
PEDRO AGUIRRE CERDA,LA FLORIDA,519
PEDRO AGUIRRE CERDA,LO ESPEJO,778
PEDRO AGUIRRE CERDA,MAIPU,1187
PEDRO AGUIRRE CERDA,PEDRO AGUIRRE CERDA,77050
PEDRO AGUIRRE CERDA,PUENTE ALTO,730
PEDRO AGUIRRE CERDA,SAN BERNARDO,702
PEDRO AGUIRRE CERDA,SAN MIGUEL,1567
PEDRO AGUIRRE CERDA,SANTIAGO,1093
PELARCO,PELARCO,6995
PELLUHUE,PELLUHUE,6445
PEMUCO,PEMUCO,7399
PENAFLOR,MAIPU,826
PENAFLOR,PADRE HURTADO,933
PENAFLOR,PENAFLOR,77543
PENAFLOR,SANTIAGO,622
PENAFLOR,TALAGANTE,1094
PENALOLEN,LA FLORIDA,4311
PENALOLEN,LA REINA,1362
PENALOLEN,LAS CONDES,1422
PENALOLEN,MACUL,2383
PENALOLEN,MAIPU,753
PENALOLEN,NUNOA,2909
PENALOLEN,PENALOLEN,189486
PENALOLEN,PROVIDENCIA,906
PENALOLEN,PUENTE ALTO,2628
PENALOLEN,SAN BERNARDO,524
PENALOLEN,SAN MIGUEL,592
PENALOLEN,SANTIAGO,2047
PENCAHUE,PENCAHUE,7264
PENCO,CONCEPCION,979
PENCO,PENCO,41105
PERALILLO,PERALILLO,10011
PERQUENCO,PERQUENCO,6029
PETORCA,PETORCA,8795
PEUMO,PEUMO,12254
PICA,PICA,4419
PICHIDEGUA,PICHIDEGUA,17037
PICHILEMU,PICHILEMU,14072
PINTO,PINTO,9807
PIRQUE,PIRQUE,21791
PIRQUE,PUENTE ALTO,1022
PITRUFQUEN,PITRUFQUEN,20846
PLACILLA,PLACILLA,7537
PORTEZUELO,PORTEZUELO,4270
PORVENIR,PORVENIR,5152
POZO ALMONTE,POZO ALMONTE,11717
PROVIDENCIA,COLINA,1267
PROVIDENCIA,LA FLORIDA,775
PROVIDENCIA,LA REINA,1870
PROVIDENCIA,LAS CONDES,7683
PROVIDENCIA,LO BARNECHEA,906
PROVIDENCIA,MACUL,796
PROVIDENCIA,NUNOA,7136
PROVIDENCIA,PENALOLEN,865
PROVIDENCIA,PROVIDENCIA,85044
PROVIDENCIA,SAN MIGUEL,601
PROVIDENCIA,SANTIAGO,3693
PROVIDENCIA,VINA DEL MAR,997
PROVIDENCIA,VITACURA,2044
PUCHUNCAVI,PUCHUNCAVI,15625
PUCON,PUCON,22544
PUCON,TEMUCO,581
PUCON,VILLARRICA,594
PUDAHUEL,BUIN,515
PUDAHUEL,CERRILLOS,576
PUDAHUEL,CERRO NAVIA,1813
PUDAHUEL,COLINA,568
PUDAHUEL,ESTACION CENTRAL,1835
PUDAHUEL,LA FLORIDA,735
PUDAHUEL,LAMPA,1505
PUDAHUEL,LO PRADO,1798
PUDAHUEL,MAIPU,4281
PUDAHUEL,NUNOA,744
PUDAHUEL,PADRE HURTADO,881
PUDAHUEL,PUDAHUEL,183413
PUDAHUEL,PUENTE ALTO,885
PUDAHUEL,QUILICURA,735
PUDAHUEL,QUINTA NORMAL,1236
PUDAHUEL,RENCA,964
PUDAHUEL,SAN BERNARDO,545
PUDAHUEL,SAN MIGUEL,659
PUDAHUEL,SANTIAGO,2675
PUENTE ALTO,BUIN,2215
PUENTE ALTO,COLINA,713
PUENTE ALTO,EL BOSQUE,935
PUENTE ALTO,ESTACION CENTRAL,854
PUENTE ALTO,LA CISTERNA,1303
PUENTE ALTO,LA FLORIDA,10621
PUENTE ALTO,LA GRANJA,1201
PUENTE ALTO,LA PINTANA,2394
PUENTE ALTO,LAMPA,762
PUENTE ALTO,LAS CONDES,676
PUENTE ALTO,LOS ANGELES,534
PUENTE ALTO,MACUL,1876
PUENTE ALTO,MAIPU,1549
PUENTE ALTO,NUNOA,2149
PUENTE ALTO,PAINE,981
PUENTE ALTO,PEDRO AGUIRRE CERDA,508
PUENTE ALTO,PENALOLEN,1596
PUENTE ALTO,PIRQUE,2491
PUENTE ALTO,PROVIDENCIA,740
PUENTE ALTO,PUDAHUEL,656
PUENTE ALTO,PUENTE ALTO,467082
PUENTE ALTO,PUERTO MONTT,567
PUENTE ALTO,QUILICURA,547
PUENTE ALTO,RANCAGUA,583
PUENTE ALTO,RECOLETA,529
PUENTE ALTO,SAN BERNARDO,2559
PUENTE ALTO,SAN JOAQUIN,989
PUENTE ALTO,SAN JOSE DE MAIPO,712
PUENTE ALTO,SAN MIGUEL,1604
PUENTE ALTO,SAN RAMON,729
PUENTE ALTO,SANTIAGO,4022
PUENTE ALTO,VALPARAISO,521
PUENTE ALTO,VILLARRICA,751
PUERTO MONTT,CALBUCO,923
PUERTO MONTT,CONCEPCION,572
PUERTO MONTT,LOS MUERMOS,535
PUERTO MONTT,MAULLIN,539
